평균 상대습도(%),일시,실효습도
75.9,20170101,54.27375
77.8,20170102,56.26225
61.8,20170103,57.37625
55.0,20170104,57.47292
52.3,20170105,49.797297
58.5,20170106,48.581154000000005
64.9,20170107,49.554054
61.4,20170108,49.991820000000004
60.8,20170109,50.461119000000004
45.1,20170110,46.215765000000005
36.4,20170111,40.321407
43.1,20170112,37.882662
47.4,20170113,37.642014
33.3,20170114,33.273813
35.3,20170115,31.607681999999997
37.6,20170116,31.570053000000005
46.6,20170117,33.905892
68.9,20170118,42.01416900000001
55.4,20170119,44.350899
70.3,20170120,50.355768000000005
78.1,20170121,56.783208
51.3,20170122,52.788627000000005
48.4,20170123,47.998031999999995
49.6,20170124,45.685299
50.6,20170125,43.615113
64.4,20170126,45.912699
47.3,20170127,43.742292000000006
38.0,20170128,39.579228
71.1,20170129,46.534578
61.4,20170130,48.442902
44.8,20170131,44.10291900000001
44.5,20170201,41.837129999999995
52.9,20170202,43.239993000000005
65.4,20170203,46.303062000000004
69.4,20170204,50.136294
75.3,20170205,55.426545000000004
51.0,20170206,51.854847
45.4,20170207,47.251122
50.1,20170208,44.808251999999996
47.0,20170209,41.966559
44.3,20170210,38.86989
45.4,20170211,38.257452
51.3,20170212,39.881103
59.6,20170213,43.27068
46.0,20170214,41.719689
52.1,20170215,42.600132
63.9,20170216,46.700979000000004
56.9,20170217,47.174088
49.4,20170218,44.83677
68.0,20170219,49.466373
53.8,20170220,48.139527
37.1,20170221,41.605767
70.8,20170222,47.495082000000004
56.4,20170223,47.675760000000004
51.3,20170224,45.334404000000006
63.6,20170225,48.10143300000001
52.8,20170226,47.640384000000005
37.4,20170227,40.998461999999996
41.5,20170228,38.305178999999995
65.0,20170301,43.727028
59.5,20170302,45.252144
54.4,20170303,45.334272000000006
60.0,20170304,47.848245000000006
71.6,20170305,52.88130000000001
41.3,20170306,46.129545
37.5,20170307,40.540632
50.6,20170308,40.81554
47.3,20170309,39.735618
37.4,20170310,35.424789
37.4,20170311,33.934965000000005
58.4,20170312,39.383688
49.8,20170313,39.957279
37.5,20170314,36.835181999999996
34.9,20170315,34.368882
41.8,20170316,34.712472000000005
43.1,20170317,34.284144000000005
34.1,20170318,31.717935
36.0,20170319,31.111767000000007
40.4,20170320,32.138544
48.1,20170321,34.819383
32.8,20170322,32.040423000000004
34.0,20170323,30.908939999999998
41.4,20170324,32.241102000000005
41.1,20170325,32.861763
53.1,20170326,36.507984
67.4,20170327,44.12178000000001
59.8,20170328,47.110932
54.9,20170329,47.36022300000001
50.0,20170330,46.07985300000001
70.6,20170331,50.75854200000001
60.5,20170401,50.282604000000006
53.1,20170402,48.112647
45.6,20170403,44.590740000000004
35.3,20170404,39.282468
66.0,20170405,43.738005
90.0,20170406,54.566133
68.1,20170407,55.948938000000005
74.5,20170408,59.215059000000004
59.6,20170409,57.55068000000001
25.8,20170410,44.69769000000001
36.8,20170411,37.790493000000005
21.8,20170412,29.559675000000006
54.0,20170413,33.135408000000005
57.9,20170414,37.559694
59.4,20170415,42.810924
52.9,20170416,43.98215400000001
66.5,20170417,49.63833
76.5,20170418,54.974097000000015
43.1,20170419,48.49249200000001
45.4,20170420,44.569736999999996
56.5,20170421,45.481545000000004
48.4,20170422,43.004084999999996
40.0,20170423,38.245653000000004
39.4,20170424,36.418812
56.8,20170425,40.244054999999996
36.0,20170426,36.122052000000004
41.8,20170427,35.38506
57.3,20170428,39.942702000000004
44.3,20170429,39.263304000000005
57.9,20170430,41.9904
50.8,20170501,42.818124
42.0,20170502,40.465089
34.1,20170503,35.666439000000004
43.6,20170504,35.812857
53.4,20170505,38.169624000000006
32.0,20170506,33.75735
42.6,20170507,34.292463000000005
43.6,20170508,35.365368000000004
62.6,20170509,41.337402000000004
73.0,20170510,48.1437
65.3,20170511,51.67711800000001
71.6,20170512,55.506048
77.8,20170513,59.995878
58.3,20170514,56.330760000000005
61.4,20170515,54.170799
60.5,20170516,52.77706799999999
51.5,20170517,48.783804
41.9,20170518,42.795908999999995
42.6,20170519,39.797592
44.0,20170520,37.96246500000001
48.1,20170521,37.953255000000006
53.6,20170522,40.05059700000001
68.0,20170523,46.32277800000001
60.4,20170524,48.39801000000001
45.6,20170525,45.340083
41.5,20170526,41.762808
46.1,20170527,40.3614
50.6,20170528,40.004352000000004
61.8,20170529,43.497618
43.5,20170530,41.199135
49.1,20170531,41.476923
51.8,20170601,42.249438
37.4,20170602,38.243304
44.0,20170603,36.854295
36.9,20170604,34.674693
33.3,20170605,31.786614000000004
60.0,20170606,37.638822
91.4,20170607,51.881430000000016
67.3,20170608,54.28847700000001
69.8,20170609,57.08139900000001
46.8,20170610,52.31796000000001
33.8,20170611,43.73731200000001
45.5,20170612,39.657639
63.0,20170613,43.267013999999996
63.0,20170614,45.66752400000001
62.4,20170615,48.327564
55.8,20170616,48.86506500000001
52.3,20170617,47.60138999999999
52.0,20170618,45.74444999999999
50.9,20170619,44.114592
43.4,20170620,40.753944000000004
52.6,20170621,41.494269
57.3,20170622,43.59897
53.0,20170623,43.79738700000001
60.4,20170624,46.211742
75.4,20170625,52.779948000000005
76.9,20170626,57.363819000000014
67.5,20170627,57.51555000000001
63.5,20170628,56.638572
64.8,20170629,56.04157200000001
65.9,20170630,55.197357000000004
73.6,20170701,56.840774999999994
90.5,20170702,63.535125
87.6,20170703,67.55285400000001
74.5,20170704,66.36971700000001
66.9,20170705,63.206058
72.3,20170706,62.223255
80.8,20170707,63.233178
83.3,20170708,64.836345
88.0,20170709,68.02907700000002
96.5,20170710,73.197189
81.4,20170711,72.012594
75.9,20170712,69.104799
71.0,20170713,65.47329
68.4,20170714,61.914255000000004
89.0,20170715,65.17435200000001
83.4,20170716,66.53777699999999
77.3,20170717,65.93949
80.6,20170718,66.757752
71.4,20170719,64.70163000000001
66.1,20170720,60.633672000000004
73.1,20170721,60.16845900000001
75.8,20170722,60.960378
89.5,20170723,65.458332
82.3,20170724,66.910773
64.1,20170725,62.734713000000006
55.6,20170726,56.90852400000001
62.5,20170727,54.764055
92.1,20170728,61.45215900000001
72.3,20170729,60.556863
64.4,20170730,58.477818
82.3,20170731,62.821065
73.0,20170801,62.72343300000001
71.9,20170802,60.83262900000001
60.6,20170803,57.117402
60.1,20170804,54.76506900000001
63.0,20170805,53.0859
71.9,20170806,55.04939700000001
68.1,20170807,55.339308
67.1,20170808,55.81200299999999
66.4,20170809,55.9581
89.9,20170810,62.964147
72.5,20170811,62.199633000000006
60.3,20170812,58.196073
62.1,20170813,55.984002000000004
67.5,20170814,56.09084700000001
93.8,20170815,62.870745000000014
80.5,20170816,64.503999
77.1,20170817,65.242413
75.6,20170818,65.218545
75.8,20170819,64.989564
95.6,20170820,69.443205
81.5,20170821,69.00135300000001
70.6,20170822,65.593488
84.1,20170823,67.333614
85.3,20170824,68.901618
61.9,20170825,61.980885
54.5,20170826,55.62730799999999
62.0,20170827,53.97939300000001
73.1,20170828,55.475168999999994
51.4,20170829,49.951707000000006
55.8,20170830,48.585135
62.4,20170831,49.98165
56.0,20170901,48.661053
59.0,20170902,48.076962
64.0,20170903,50.262234
53.8,20170904,48.510072
62.4,20170905,49.53078
75.5,20170906,54.49797000000001
73.3,20170907,57.163740000000004
67.5,20170908,57.03767400000001
70.1,20170909,58.243722000000005
74.3,20170910,59.914335
79.8,20170911,62.073249000000004
58.6,20170912,57.335415000000005
49.3,20170913,51.52137299999999
48.8,20170914,47.170449000000005
48.4,20170915,43.793034000000006
50.9,20170916,41.901528
51.3,20170917,41.76639900000001
62.8,20170918,45.590724
79.1,20170919,53.182961999999996
48.9,20170920,49.457697
57.3,20170921,49.243959000000004
60.8,20170922,50.124174000000004
69.8,20170923,52.860482999999995
71.5,20170924,54.464037000000005
58.0,20170925,53.059239000000005
57.0,20170926,51.352343999999995
66.4,20170927,52.801044
49.1,20170928,48.171345
39.3,20170929,41.90484
64.9,20170930,45.87897
74.8,20171001,51.681282
62.3,20171002,51.51894299999999
49.8,20171003,48.52758899999999
48.5,20171004,46.537766999999995
56.4,20171005,46.22411399999999
66.4,20171006,48.505389
67.6,20171007,51.09254400000001
66.9,20171008,53.32381500000001
66.0,20171009,54.68125200000001
76.9,20171010,58.503132000000015
77.1,20171011,60.73423800000001
71.0,20171012,60.405507000000014
51.0,20171013,54.21069
42.8,20171014,47.459697
42.5,20171015,42.094413
47.6,20171016,39.85863
47.1,20171017,38.451150000000005
58.8,20171018,41.984334
58.3,20171019,44.721015
58.6,20171020,46.74181800000001
52.8,20171021,46.159233
50.4,20171022,45.056633999999995
47.0,20171023,42.67488899999999
54.3,20171024,43.222878
59.0,20171025,45.001343999999996
56.5,20171026,45.788712
54.4,20171027,45.83088
51.9,20171028,45.281829
45.6,20171029,42.63942000000001
27.4,20171030,35.092755
54.3,20171031,38.006142
72.4,20171101,45.581397
78.8,20171102,52.930128
66.0,20171103,54.55189200000001
47.9,20171104,51.174789000000004
52.5,20171105,48.83449200000001
64.5,20171106,49.883664
61.4,20171107,49.365390000000005
53.3,20171108,47.217987
39.6,20171109,42.517424999999996
56.3,20171110,44.005095
42.9,20171111,40.421412000000004
57.1,20171112,42.329139
64.4,20171113,46.262958000000005
42.5,20171114,43.137399
38.3,20171115,38.847477
30.3,20171116,34.12017300000001
39.4,20171117,32.825082
38.5,20171118,31.280445000000004
37.8,20171119,31.093419000000004
55.3,20171120,36.424269
55.6,20171121,40.649232
54.8,20171122,42.907875000000004
49.3,20171123,42.884304
62.5,20171124,46.863099
77.6,20171125,53.29588800000001
71.6,20171126,55.983714
53.0,20171127,52.325528999999996
64.1,20171128,53.372115
48.3,20171129,48.69916799999999
26.8,20171130,38.216747999999995
49.4,20171201,37.961580000000005
59.9,20171202,41.870793000000006
83.1,20171203,51.007569
48.1,20171204,47.699963999999994
40.1,20171205,44.068692000000006
72.6,20171206,50.137287
64.5,20171207,51.425883
41.3,20171208,44.198133
46.1,20171209,42.34344299999999
67.9,20171210,47.988527999999995
40.5,20171211,42.081405000000004
41.9,20171212,38.774829000000004
42.0,20171213,37.659993
42.9,20171214,36.907587
52.6,20171215,38.191725000000005
43.1,20171216,37.622157
38.1,20171217,35.65287
80.0,20171218,46.839327000000004
49.4,20171219,45.44446800000001
68.0,20171220,49.558983000000005
71.4,20171221,53.938143000000004
66.6,20171222,55.81566
75.8,20171223,57.777282
82.0,20171224,62.5533
43.1,20171225,53.288682
41.8,20171226,46.24201800000001
31.4,20171227,38.431374000000005
47.0,20171228,37.18005
67.0,20171229,41.991513000000005
79.5,20171230,51.07091400000001
54.4,20171231,49.96204200000001
39.1,20180101,45.12021000000001
42.0,20180102,41.81436000000001
42.3,20180103,38.581845
43.0,20180104,35.898822
48.4,20180105,36.906273
45.8,20180106,37.60293
42.1,20180107,36.834369
51.9,20180108,39.22125
59.4,20180109,43.10677199999999
52.0,20180110,43.33436400000001
49.8,20180111,42.964772999999994
35.4,20180112,38.572616999999994
67.3,20180113,44.57398200000001
64.1,20180114,47.43678
63.9,20180115,49.75385399999999
59.1,20180116,50.046732
64.1,20180117,52.47780900000001
59.6,20180118,51.22113300000001
43.0,20180119,45.522807
57.6,20180120,45.924063000000004
36.6,20180121,40.146963
56.5,20180122,41.820888
42.0,20180123,38.869530000000005
31.6,20180124,34.520568000000004
32.6,20180125,31.040148000000002
34.9,20180126,30.352694999999997
37.4,20180127,29.618100000000002
36.0,20180128,29.414988
35.0,20180129,29.497188
62.0,20180130,37.604307000000006
54.5,20180131,40.91332200000001
44.1,20180201,39.98358
51.1,20180202,41.50335000000001
47.0,20180203,41.38761
40.9,20180204,38.115225
37.8,20180205,35.272713
36.5,20180206,33.417333
39.8,20180207,32.75562
43.3,20180208,33.549147
43.9,20180209,34.592183999999996
47.4,20180210,36.528615
42.5,20180211,36.47966400000001
40.8,20180212,35.769009000000004
54.5,20180213,39.205077
51.0,20180214,40.530072000000004
28.0,20180215,34.38109500000001
40.1,20180216,33.953874
25.6,20180217,29.390535
26.9,20180218,25.89543
48.6,20180219,30.135330000000003
41.0,20180220,31.982943000000002
31.5,20180221,29.816178
59.0,20180222,37.280547000000006
81.1,20180223,49.070057999999996
49.4,20180224,46.718579999999996
40.6,20180225,42.81574500000001
43.1,20180226,41.31276
48.8,20180227,40.584093
73.3,20180228,46.309722
61.9,20180301,48.496008
34.0,20180302,42.10011299999999
38.1,20180303,38.726934
89.1,20180304,51.37830900000001
67.5,20180305,52.51895700000001
46.8,20180306,47.682210000000005
54.0,20180307,47.863232999999994
76.0,20180308,54.38322300000001
63.3,20180309,52.565745000000014
65.8,20180310,53.132604
51.3,20180311,50.223119999999994
45.8,20180312,46.17345
60.5,20180313,46.63941900000001
58.8,20180314,47.095943999999996
92.1,20180315,57.279458999999996
46.9,20180316,51.579024
48.0,20180317,48.196035
55.9,20180318,47.456754
64.5,20180319,49.604972999999994
39.9,20180320,42.049707
64.1,20180321,46.300050000000006
61.5,20180322,48.43982700000001
55.3,20180323,47.679345
61.9,20180324,48.693387
65.6,20180325,51.753572999999996
64.5,20180326,52.34551499999999
61.1,20180327,51.870969
66.4,20180328,53.44139700000001
66.3,20180329,54.177918000000005
55.6,20180330,51.296925
52.9,20180331,48.525693000000004
68.8,20180401,51.52726199999999
64.0,20180402,51.921129
72.9,20180403,54.87187800000001
67.0,20180404,55.706907
90.6,20180405,63.50756400000001
71.6,20180406,62.46632999999999
45.5,20180407,54.149487
59.6,20180408,52.10895
57.9,20180409,50.468058000000006
51.0,20180410,46.059498000000005
49.4,20180411,43.451505000000004
30.5,20180412,37.27189800000001
22.9,20180413,29.955236999999997
78.8,20180414,41.68929
65.5,20180415,46.26103200000001
41.9,20180416,42.46192500000001
37.9,20180417,39.555507000000006
35.4,20180418,37.154213999999996
38.8,20180419,33.674775000000004
46.0,20180420,34.069767000000006
32.0,20180421,31.336197000000002
57.4,20180422,37.244382
93.9,20180423,52.45616400000001
63.3,20180424,53.75298000000001
37.8,20180425,46.64772
51.9,20180426,46.609932
52.9,20180427,45.602787
49.0,20180428,41.88741900000001
43.1,20180429,39.059544
61.6,20180430,43.915767
72.8,20180501,49.964187
90.4,20180502,59.42766000000002
62.4,20180503,57.848733
45.5,20180504,51.970968
46.8,20180505,47.313744
86.4,20180506,55.368972
60.3,20180507,52.29022199999999
50.9,20180508,48.726884999999996
50.4,20180509,46.934664000000005
67.4,20180510,50.71456200000001
59.8,20180511,49.083819
89.3,20180512,58.108287
82.5,20180513,62.859372
71.4,20180514,62.880342
56.4,20180515,57.537864
93.8,20180516,65.40132899999999
97.0,20180517,70.378335
86.8,20180518,71.14510200000001
47.5,20180519,60.451512
32.1,20180520,49.10231399999999
43.9,20180521,42.81213
75.5,20180522,47.727654
57.1,20180523,46.162815
47.4,20180524,44.13897300000001
47.4,20180525,43.49876700000001
50.1,20180526,43.265655
47.4,20180527,40.699173
49.8,20180528,40.550382
69.3,20180529,46.78531200000001
69.8,20180530,51.299763
58.9,20180531,51.05374200000001
50.4,20180601,48.467664000000006
44.5,20180602,44.766399
39.4,20180603,39.662304
50.1,20180604,39.274227
52.5,20180605,40.272162
62.9,20180606,44.51929500000001
69.3,20180607,49.709772
68.0,20180608,53.210253
60.6,20180609,52.901085
59.9,20180610,52.353657
67.3,20180611,53.666078999999996
65.5,20180612,53.72208
64.0,20180613,53.37682800000001
74.9,20180614,56.77826700000001
60.8,20180615,54.964569
56.4,20180616,52.00186500000001
66.9,20180617,53.168730000000004
54.9,20180618,50.461166999999996
61.3,20180619,49.936284
68.1,20180620,52.319802
60.1,20180621,51.810117000000005
45.1,20180622,46.423917
50.6,20180623,44.908629000000005
62.8,20180624,47.185233000000004
57.1,20180625,46.72599300000001
88.3,20180626,56.16789299999999
81.9,20180627,61.61353800000001
85.1,20180628,66.108174
78.5,20180629,66.659283
83.8,20180630,68.922459
94.6,20180701,72.17354700000001
95.4,20180702,75.012003
74.4,20180703,70.537575
69.6,20180704,66.298254
72.8,20180705,64.02349799999999
57.8,20180706,57.386621999999996
51.4,20180707,50.780471999999996
51.5,20180708,47.245008
82.3,20180709,54.252204000000006
87.8,20180710,60.645894000000006
82.9,20180711,64.40779200000001
82.4,20180712,67.21381500000001
74.8,20180713,66.89298900000001
69.6,20180714,63.555444
69.6,20180715,60.941846999999996
64.3,20180716,57.76939199999999
66.5,20180717,56.23388399999999
64.8,20180718,55.032228
64.1,20180719,54.243258
62.6,20180720,53.240979
53.6,20180721,50.106615
49.6,20180722,46.60163400000001
53.8,20180723,45.493863000000005
59.5,20180724,46.463718
66.3,20180725,49.258248
68.8,20180726,52.418208
69.3,20180727,54.981864000000016
77.1,20180728,58.90465499999999
52.4,20180729,53.95320900000001
50.9,20180730,49.694334000000005
50.5,20180731,46.467069
55.5,20180801,45.682773000000005
54.4,20180802,44.41048200000001
55.3,20180803,45.035277
60.6,20180804,47.138265000000004
71.8,20180805,51.990525000000005
71.6,20180806,55.075002
63.4,20180807,54.829598999999995
64.8,20180808,55.032438
76.3,20180809,58.35719400000001
60.9,20180810,55.499808
55.8,20180811,51.979721999999995
61.3,20180812,51.579114
68.6,20180813,53.418099
58.3,20180814,51.035547
59.5,20180815,50.504244000000014
51.0,20180816,47.83947900000001
39.8,20180817,42.336828000000004
44.6,20180818,39.556899
50.6,20180819,39.930285
55.6,20180820,41.631150000000005
71.4,20180821,47.99033400000001
54.1,20180822,47.81647800000001
59.1,20180823,48.952757999999996
86.3,20180824,57.605627999999996
68.0,20180825,57.920532
70.0,20180826,57.94431300000001
91.0,20180827,65.13324300000001
92.4,20180828,70.333389
86.0,20180829,70.68204000000001
80.9,20180830,70.31880000000001
67.4,20180831,65.91369
59.4,20180901,59.371272000000005
55.8,20180902,53.64099
85.3,20180903,58.802487000000006
69.4,20180904,57.902682000000006
63.5,20180905,56.183502000000004
69.9,20180906,57.30344400000001
54.6,20180907,53.67891899999999
48.8,20180908,47.914331999999995
49.0,20180909,44.740815000000005
49.5,20180910,42.966837
48.1,20180911,40.982358000000005
52.0,20180912,41.53466400000001
63.5,20180913,45.663720000000005
66.9,20180914,49.563975000000006
76.0,20180915,54.998943000000004
83.6,20180916,61.15401
64.3,20180917,59.47591500000001
59.8,20180918,56.371407000000005
59.1,20180919,53.81682000000001
82.4,20180920,58.55977800000001
85.8,20180921,62.51664900000001
62.3,20180922,59.20958400000001
52.9,20180923,54.301533000000006
48.3,20180924,49.521192
48.0,20180925,44.910143999999995
47.9,20180926,41.480979000000005
47.6,20180927,40.175457
58.1,20180928,42.885549
55.5,20180929,44.234550000000006
52.5,20180930,44.293977
55.1,20181001,45.12061800000001
61.4,20181002,47.604392999999995
58.0,20181003,47.793614999999996
56.5,20181004,47.607165
84.1,20181005,55.90791300000001
84.0,20181006,61.55734200000001
53.5,20181007,56.04429000000001
47.0,20181008,50.406585
52.5,20181009,48.185823000000006
61.0,20181010,47.78967
51.0,20181011,44.517405000000004
54.0,20181012,44.66465999999999
54.0,20181013,45.095475
60.0,20181014,46.91973
69.9,20181015,50.73813000000001
55.9,20181016,49.715219999999995
53.3,20181017,48.067919999999994
59.5,20181018,48.77481
54.3,20181019,47.407107
53.9,20181020,45.83054700000001
49.5,20181021,44.112849000000004
50.0,20181022,43.191555
75.1,20181023,49.764039000000004
66.0,20181024,51.896967
55.5,20181025,50.260185
74.1,20181026,54.916290000000004
49.6,20181027,50.80035300000001
77.1,20181028,54.90363
57.3,20181029,52.294755
51.3,20181030,49.197963
55.4,20181031,47.32237800000001
53.4,20181101,46.644783
54.9,20181102,45.233889000000005
56.0,20181103,45.574599
55.0,20181104,45.815622
65.5,20181105,48.927612
70.5,20181106,52.706847
79.5,20181107,57.97668
93.8,20181108,65.9001
69.0,20181109,64.05691500000002
69.1,20181110,62.26726500000001
67.6,20181111,60.312405
52.3,20181112,53.900214000000005
51.6,20181113,48.48066
55.5,20181114,47.107413
55.4,20181115,46.111098000000005
65.1,20181116,48.39930900000001
50.8,20181117,46.482498
48.8,20181118,44.576024999999994
50.4,20181119,43.524852
39.9,20181120,39.64407299999999
57.1,20181121,41.598444
35.0,20181122,37.057524
29.6,20181123,32.359722000000005
71.1,20181124,41.44058700000001
77.8,20181125,50.336613
70.1,20181126,53.38659
65.0,20181127,55.10587799999999
27.1,20181128,45.211653
41.4,20181129,40.483224
46.1,20181130,38.245503
42.3,20181201,35.92734
50.1,20181202,36.901773
87.4,20181203,50.684832
74.9,20181204,55.861953000000014
39.5,20181205,48.62895900000001
50.5,20181206,47.057463000000006
37.1,20181207,41.54413199999999
37.1,20181208,35.804097000000006
27.0,20181209,29.386335
33.3,20181210,28.568804999999998
44.8,20181211,30.891903
39.0,20181212,31.453713
57.4,20181213,37.36698
44.3,20181214,38.085519
46.8,20181215,39.020844
63.8,20181216,44.195730000000005
60.1,20181217,47.000592000000005
56.3,20181218,46.896249000000005
53.4,20181219,46.61372400000001
45.5,20181220,43.919903999999995
40.1,20181221,39.557072999999995
48.9,20181222,39.329649
43.0,20181223,37.592052
35.9,20181224,34.391955
53.4,20181225,37.80021300000001
40.8,20181226,36.678267
28.3,20181227,31.6992
33.0,20181228,29.921337
29.0,20181229,27.834822000000003
35.9,20181230,27.561894
39.6,20181231,29.116149000000007
49.5,20190101,33.804390000000005
42.8,20190102,34.83918
38.8,20190103,34.565217
55.5,20190104,39.035537999999995
40.3,20190105,37.418205
35.0,20190106,34.196903999999996
46.4,20190107,35.699814
31.0,20190108,32.333535000000005
28.8,20190109,28.475109
48.8,20190110,32.54061
58.8,20190111,38.653692
47.6,20190112,38.99805
54.3,20190113,42.02558400000001
68.6,20190114,48.545784
58.8,20190115,49.161504
45.9,20190116,45.21829800000001
45.8,20190117,42.992769
44.0,20190118,40.557078000000004
59.8,20190119,42.871074
38.5,20190120,38.594997
57.8,20190121,42.042173999999996
62.0,20190122,45.72024
48.9,20190123,44.455644
34.9,20190124,38.573775000000005
27.6,20190125,33.340434
30.9,20190126,29.69397
52.5,20190127,33.409677
40.4,20190128,33.04118700000001
35.5,20190129,32.019138000000005
54.6,20190130,37.401777
29.0,20190131,33.323235
47.6,20190201,34.959162000000006
60.0,20190202,40.434405
92.9,20190203,54.38413800000001
40.4,20190204,47.43591000000001
37.1,20190205,42.87292800000001
54.9,20190206,44.081010000000006
45.5,20190207,41.481447
31.5,20190208,33.802902
30.0,20190209,30.625023000000006
31.3,20190210,28.956897
34.9,20190211,27.971715000000007
35.5,20190212,27.936045
26.6,20190213,25.946970000000004
24.3,20190214,23.940249
72.8,20190215,37.019997000000004
59.0,20190216,41.854305
47.4,20190217,41.72806800000001
43.5,20190218,40.918449
80.8,20190219,51.657684
67.8,20190220,52.82973
59.4,20190221,51.825972
56.1,20190222,50.718225
41.0,20190223,45.609444
45.0,20190224,41.352593999999996
55.8,20190225,42.268272
32.8,20190226,36.432783
31.3,20190227,32.06433
39.5,20190228,32.22777
42.3,20190301,32.980494
37.6,20190302,31.552854
36.4,20190303,31.353189000000004
46.1,20190304,34.199055
66.3,20190305,41.837709000000004
55.0,20190306,43.653588000000006
51.1,20190307,43.991682000000004
39.4,20190308,40.778853000000005
31.8,20190309,35.760788999999995
26.4,20190310,29.609640000000002
61.0,20190311,36.253593
55.1,20190312,39.331002
38.5,20190313,37.095113999999995
45.3,20190314,37.953192
72.8,20190315,47.076119999999996
69.9,20190316,50.84760300000001
55.4,20190317,49.435125000000006
43.8,20190318,45.803379
52.0,20190319,45.378294
79.0,20190320,51.794157
77.4,20190321,55.951482
40.9,20190322,48.642714
46.9,20190323,45.911460000000005
45.4,20190324,43.13613
56.1,20190325,43.042032
51.1,20190326,41.556837
66.4,20190327,46.947567000000014
49.9,20190328,45.468552
33.1,20190329,39.468873
72.0,20190330,46.399593
46.0,20190331,43.70320200000001
39.8,20190401,39.184287
36.9,20190402,35.982993
36.1,20190403,34.34916
43.0,20190404,33.3141
41.0,20190405,33.300504
39.9,20190406,33.273597
43.1,20190407,34.360983000000004
25.6,20190408,29.912490000000002
49.1,20190409,33.500640000000004
78.4,20190410,44.90318700000002
58.0,20190411,46.820433
48.5,20190412,45.151158
34.0,20190413,40.515032999999995
45.5,20190414,39.534852
30.9,20190415,32.99139
26.3,20190416,28.059554999999996
37.5,20190417,28.44627
74.4,20190418,40.518075
57.5,20190419,43.31849700000001
66.9,20190420,48.834939000000006
77.8,20190421,56.198385
50.6,20190422,52.628082000000006
52.0,20190423,48.688335
70.4,20190424,52.30262700000001
75.9,20190425,56.008674
82.1,20190426,59.913318000000004
52.6,20190427,55.168020000000006
48.8,20190428,50.63572200000001
52.9,20190429,47.76536700000001
52.8,20190430,45.448803000000005
48.9,20190501,42.34459799999999
28.5,20190502,35.539074
37.5,20190503,33.666807000000006
40.4,20190504,33.01949400000001
35.8,20190505,31.191417
27.1,20190506,27.498404999999998
33.4,20190507,27.831885
48.3,20190508,32.081532
43.3,20190509,33.410064
48.0,20190510,35.981973
39.0,20190511,35.520972
36.0,20190512,33.980619000000004
43.4,20190513,34.371099
44.5,20190514,35.22654
48.1,20190515,36.66837
43.8,20190516,36.84144
44.9,20190517,37.44385200000001
46.8,20190518,38.062425
93.0,20190519,52.29996300000001
63.6,20190520,53.264724
52.0,20190521,50.676866999999994
46.0,20190522,47.009904000000006
45.0,20190523,44.04722999999999
46.4,20190524,40.063908
45.6,20190525,38.51796
39.0,20190526,36.04068000000001
80.9,20190527,47.17911000000001
45.9,20190528,44.52643200000001
48.4,20190529,43.348968000000006
48.0,20190530,42.445080000000004
49.6,20190531,42.625137
60.5,20190601,43.908537
42.1,20190602,41.051652
42.9,20190603,39.16578
56.4,20190604,41.91583800000001
63.8,20190605,45.980205000000005
75.9,20190606,51.905673
77.3,20190607,57.40124700000001
57.5,20190608,55.267812000000006
66.1,20190609,55.673724
70.3,20190610,56.84474700000001
51.1,20190611,51.29436900000001
57.1,20190612,49.138515000000005
51.9,20190613,47.067753
54.8,20190614,46.054599
61.5,20190615,47.143623
55.4,20190616,47.044023
59.1,20190617,47.781777
78.6,20190618,54.410394
77.8,20190619,58.66420500000001
70.6,20190620,59.144052
72.9,20190621,60.477513
42.3,20190622,52.044378
40.4,20190623,44.587974
46.9,20190624,41.358828
49.1,20190625,40.12145700000001
52.6,20190626,40.189329
70.5,20190627,47.149722000000004
67.3,20190628,51.157797
72.0,20190629,55.04571299999999
73.5,20190630,58.106328000000005
